Id,Country,City,Latitude,Longitude,Population,IdProche,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
17,germany,essen,51.45,7.016667,576914,17,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Alfried Krupp Krankenhaus Rüttenscheid - Abt. Neurologie
18,germany,giessen,50.583333,8.65,83280,33,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinikum Gießen und Marburg - Neurovaskuläre AG
19,germany,isselburg,51.833333,6.466667,11274,17,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Augustahospital AnholT GmbH - Abt. Neurologie
20,germany,munster,51.966667,7.633333,272452,1655,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universität Münster - Klinik & Poliklinik für Neurologie
21,germany,trier,49.75,6.633333,100649,0,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Krankenhaus der Bamherzigen Brüder Trier - Neurologische Klinik
22,germany,ulm,48.4,10,120745,768,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinikum Ulm - Klinik für Neurologie
23,germany,wurzburg,49.787778,9.936111,134499,0,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinik Würzburg - Neurologische Klinik
24,france,montpellier,43.61092,3.87723,238887,0,NCT02580669,Multiple Sclerosis,Progressive Multiple Sclerosis,Other,N/A,66,Hopital Gui de Chauliac -Service de Neurologie
25,united kingdom,bristol,51.45,-2.583333,430714,25,NCT01815632,Multiple Sclerosis,Progressive Multiple Sclerosis,Stem Cells,Phase 2,80,University of Bristol & North Bristol NHS Trust
26,united states of america,los angeles,34.0522222,-118.2427778,3877129,26,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,University of California - Los Angeles
27,united states of america,aurora,39.7294444,-104.8313889,299780,286,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,The University of Colorado Denver
28,united states of america,albuquerque,35.0844444,-106.6505556,487378,28,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,The University of New Mexico
29,united states of america,philadelphia,39.9522222,-75.1641667,1453268,29,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,The University of Pennsylvania
30,spain,barcelona,41.398371,2.1741,1570378,30,NCT02495766,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,8,Hospital Vall Hebron
31,germany,muenster,51.966667,7.633333,302178,1655,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,University Hospital Muenster
32,germany,bonn,50.733333,7.1,314081,807,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Neurologisches Studienzentrum Dr. Schmidt/Dr. Neudecker/ Dr. Viehbahn/Dr. Kronenberger
33,germany,frankfurt,50.116667,8.683333,648034,33,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Neurologische Gemeinschaftspraxis im Bienenkorbhaus
34,germany,heidelberg,49.416667,8.7,144703,33,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Neurologische Univ.-Klinik
35,germany,mainz,50,8.271111,187940,33,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Klinik und Poliklinik für Neurologie - Universitätsklinikum Mainz
36,germany,osnabruck,52.266667,8.05,165372,0,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,MVZ-Neurologie Klinikum Osnabrück GmbH
37,denmark,copenhagen,55.666667,12.583333,1089958,37,NCT02760082,Multiple Sclerosis,All,Other,N/A,500,University of Copenhagen
38,united states of america,waltham,42.3763889,-71.2361111,58570,45,NCT02486562,Multiple Sclerosis,All,Behavioral,N/A,20000,Accelerated Cure Project
39,united states of america,san francisco,37.775,-122.4183333,732072,39,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,UCSF Pediatric MS Center
40,united states of america,birmingham,33.5205556,-86.8025,231621,0,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Center for pediatric-onset demyelinating diseases at the Children's Hospital of Alabama - Birmingham
41,united states of america,san bernardino,34.1083333,-117.2888889,202381,0,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Clinic - Children's Hospital - Loma Linda University
42,united states of america,aurora,39.7294444,-104.8313889,299780,286,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Children's Hospital Colorado - University of Colorado School of Medicine
43,united states of america,washington,38.895,-77.0366667,552433,43,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Clinic - Children's National Medical Center
44,united states of america,chicago,41.85,-87.65,2841952,44,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Clinic - Ann & Robert H. Lurie Children's Hospital of Chicago
45,united states of america,boston,42.3583333,-71.0602778,571281,45,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Partners Pediatric MS Center at the Massachusetts General Hospital for Children
46,united states of america,boston,42.3583333,-71.0602778,571281,46,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Clinic - Children's Hospital Boston
47,united states of america,rochester,44.0216667,-92.4697222,96355,0,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Regional Pediatric MS Center at Mayo Clinic
48,united states of america,saint louis,38.6272222,-90.1977778,320916,0,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Clinic - Washington University School of Medicine
49,united states of america,buffalo,42.8863889,-78.8786111,279557,0,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Center of the Jacobs Neurological Institute - University of Buffalo
50,united states of america,stony brook,40.9255556,-73.1413889,13620,1,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Stony Brook National Pediatric MS Center
51,united states of america,cleveland,41.4994444,-81.6955556,449514,51,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,The Cleveland Clinic
52,united states of america,philadelphia,39.9522222,-75.1641667,1453268,52,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Clinic - Children's Hospital of Philadelphia
53,united states of america,dallas,32.7833333,-96.8,1211704,53,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric MS Center - University of Texas - Southwestern Medical Center
54,united states of america,houston,29.7630556,-95.3630556,2027712,54,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,The Blue Bird Circle Clinic for MS at Texas Children's Hospital
55,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT01396343,Multiple Sclerosis,CIS,Other,Phase 1,1920,Pediatric Neurology Clinic - Primary Children's Hospital
56,italy,ferrara,44.833333,11.583333,131252,0,NCT02421744,Multiple Sclerosis,All,Behavioral,Phase 3,60,Ferrara University Hospital
57,italy,pisa,43.716667,10.383333,83803,0,NCT02421744,Multiple Sclerosis,All,Behavioral,Phase 3,60,Azienda Ospedaliera Universitaria Pisana
58,united states of america,baltimore,39.2902778,-76.6125,610892,58,NCT02538094,Multiple Sclerosis,Progressive Multiple Sclerosis,Device,N/A,50,Johns Hopkins University
59,switzerland,valens,46.966581,9.477047,400,0,NCT02408367,Multiple Sclerosis,All,Behavioral,Phase 1,20,Kliniken-Valens
60,ireland,merrion,53.295,-6.2372222,2386,61,NCT02208050,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 4,80,St Vincent's University Hospital
61,ireland,dublin,53.3330556,-6.2488889,1024027,61,NCT02208050,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 4,80,St. Vincents University Hospital
62,united kingdom,london,51.514125,-0.093689,7421228,62,NCT02490046,Multiple Sclerosis,All,Other,Phase 1,20,The National Hospital for Neurology and Neurosurgery
63,united kingdom,bristol,51.45,-2.583333,430714,63,NCT01932593,Multiple Sclerosis,All,Stem Cells,Phase 1,6,North Bristol NHS Trust
64,france,lille,50.632971,3.058585,189746,0,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Lille Catholic University
65,france,caen,49.197188,-0.326822,115358,0,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Centre Hospitalier Universitaire de Caen
66,france,maubeuge,50.278499,3.974426,33017,1012,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Centre Hospitalier de Sambre-Avenois
67,france,raimbeaucourt,50.434656,3.093332,4335,0,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Centre Hélène Borel
68,france,tourcoing,50.723907,3.161168,93835,0,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Centre Hospitalier Dron de Tourcoing
69,france,douai,50.372362,3.088996,43404,0,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Centre Hospitalier de Douai
70,france,amiens,49.9,2.3,138816,0,NCT02008669,Multiple Sclerosis,All,Other,Phase 1,360,Centre Hospitalier Universitaire d'Amiens
71,united states of america,brookline,42.3316667,-71.1216667,56079,45,NCT02649985,Multiple Sclerosis,All,Drug,Phase 1-Phase 2,50,Brigham and Women's Hospital
72,germany,darmstadt,49.870556,8.649444,139757,33,NCT02064816,Multiple Sclerosis,RRMS,Drug,Phase 4,218,Merck KGaA
73,united states of america,seattle,47.6063889,-122.3308333,569369,73,NCT02106052,Multiple Sclerosis,All,Other,N/A,125,University of Washington
74,switzerland,bern,46.916667,7.466667,123018,0,NCT02440516,Multiple Sclerosis,All,Other,N/A,62,Department of Neurology - University Hospital Bern
75,switzerland,luzern,47.083333,8.266667,57269,0,NCT02440516,Multiple Sclerosis,All,Other,N/A,62,Department of Neurology - Cantonal hospital Luzern
76,italy,ferrara,44.833333,11.583333,131252,0,NCT01883310,Multiple Sclerosis,RRMS,Device,Phase 2,30,Ferrara University Hospital
77,united states of america,columbus,39.9611111,-82.9988889,736836,77,NCT02258217,Multiple Sclerosis,RRMS,Drug,Phase 3,30,The Ohio State University Wexner Medical Center
78,italy,verona,45.45,11,247082,0,NCT02459821,Multiple Sclerosis,All,Other,N/A,40,Azienta Ospedaliera - SSO Rehabilitation Unit - Verona
79,italy,verona,45.45,11,247082,0,NCT02459821,Multiple Sclerosis,All,Other,N/A,40,prof. Smania Nicola
80,united states of america,round rock,30.5080556,-97.6786111,88653,0,NCT02738775,Multiple Sclerosis,RRMS,Biological,Phase 2,40,TG Therapeutics Investigational Trial Site
81,united states of america,phoenix,33.4483333,-112.0733333,1428509,81,NCT02738775,Multiple Sclerosis,RRMS,Biological,Phase 2,40,TG Therapeutics Investigational Trial Site
82,united states of america,fort collins,40.5852778,-105.0838889,129252,286,NCT02738775,Multiple Sclerosis,RRMS,Biological,Phase 2,40,TG Therapeutics Investigational Trial Site
83,united states of america,san antonio,29.4238889,-98.4933333,1256810,83,NCT02738775,Multiple Sclerosis,RRMS,Biological,Phase 2,40,TG Therapeutics Investigational Trial Site
84,france,garches,48.842257,2.182317,18170,158,NCT01871818,Multiple Sclerosis,Progressive Multiple Sclerosis,Behavioral,Phase 3,240,Hôpital RAYMOND POINCARE
85,germany,muenster,51.966667,7.633333,302178,1655,NCT02361697,Multiple Sclerosis,CIS,Other,N/A,15,University Hospital Muenster
86,france,bordeaux,44.840439,-0.5805,219311,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,Service de Neurologie - Hôpital Pellegrin - CHU de Bordeaux
87,france,clermont-ferrand,45.779657,3.086281,137364,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,Service de neurologie - CHU de Clermont-Ferrand
88,france,dijon,47.316667,5.016667,153692,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,CHU de Dijon
89,france,lille,50.632971,3.058585,189746,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,Service de Neurologie - CHRU de Lille
90,france,nancy,48.69211,6.187756,106857,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,Service de Neurologie - CHU de nancy
91,france,nantes,47.216509,-1.552379,284677,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,Service de neurologie - CHU de Nantes
92,france,strasbourg,48.600381,7.787355,273506,0,NCT01442233,Multiple Sclerosis,RRMS,Other,Phase 3,80,Service de Neurologie - CHU de Strasbourg
93,united states of america,bethesda,38.9805556,-77.1005556,52801,43,NCT02423083,Multiple Sclerosis,RRMS,Drug,Phase 1,12,National Institute of Neurological Disorders and Stroke (NINDS)
94,united states of america,new york,40.7141667,-74.0063889,8107916,94,NCT02549703,Multiple Sclerosis,All,Other,N/A,45,Icahn School of Medicine at Mount Sinai
95,united states of america,portland,45.5236111,-122.675,540513,95,NCT02057159,Multiple Sclerosis,Progressive Multiple Sclerosis,Biological,Phase 2-Phase 3,200,Center Oregon Health & Science University
96,united states of america,portland,45.5236111,-122.675,540513,96,NCT02200718,Multiple Sclerosis,All,Biological,Phase 1,12,Center Oregon Health & Science University
97,france,rennes,48.111981,-1.674291,213334,0,NCT02652013,Multiple Sclerosis,All,Other,N/A,80,Pôle Saint Hélier
98,united states of america,aurora,39.7294444,-104.8313889,299780,286,NCT01698086,Multiple Sclerosis,All,Other,N/A,88,University of Colorado Denver
99,united states of america,houston,29.7630556,-95.3630556,2027712,99,NCT02519244,Multiple Sclerosis,All,Device,N/A,10,The University of Texas Health Science Center - Houston
100,united states of america,portland,45.5236111,-122.675,540513,100,NCT02133664,Multiple Sclerosis,All,Drug,Phase 1-Phase 2,53,Center Oregon Health & Science University
101,united states of america,phoenix,33.4483333,-112.0733333,1428509,101,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
102,united states of america,long beach,33.7669444,-118.1883333,482618,102,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
103,united states of america,centennial,39.5791667,-104.8763889,96930,286,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
104,united states of america,stamford,41.0533333,-73.5391667,121230,1,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
105,united states of america,patchogue,40.7655556,-73.0155556,12030,0,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
106,united states of america,charlotte,35.2269444,-80.8433333,598351,106,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
107,united states of america,indian land,35.002492,-80.856553,0,107,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
108,united states of america,knoxville,35.9605556,-83.9208333,172474,0,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
109,united states of america,houston,29.7630556,-95.3630556,2027712,109,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
110,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
111,united states of america,richmond,37.5536111,-77.4605556,190886,0,NCT02634307,Multiple Sclerosis,RRMS,Drug,Phase 3,600,Alkermes Investigational Site
112,united states of america,west orange,40.7986111,-74.2394444,48131,1,NCT02301260,Multiple Sclerosis,All,Behavioral,N/A,100,Kessler Foundation
113,united states of america,new orleans,29.9544444,-90.075,459336,113,NCT02011451,Multiple Sclerosis,RRMS,Drug,Phase 2,48,LSU Health Sciences Center
114,germany,berlin,52.516667,13.4,3398362,114,NCT02740296,Multiple Sclerosis,RRMS,Other,N/A,200,Charité - Universitätsmedizin Berlin
115,united states of america,durham,35.9938889,-78.8988889,204734,0,NCT01776060,Multiple Sclerosis,Progressive Multiple Sclerosis,Other,N/A,100,The Stedman Center on the Duke Center for Living Campus
116,united states of america,concord,35.4086111,-80.5797222,60592,106,NCT01776060,Multiple Sclerosis,Progressive Multiple Sclerosis,Other,N/A,100,NE Neurology
117,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT01776060,Multiple Sclerosis,Progressive Multiple Sclerosis,Other,N/A,100,Raleigh Neurology Associates
118,united states of america,saint louis,38.6272222,-90.1977778,320916,0,NCT02411838,Multiple Sclerosis,RRMS,Other,N/A,16,Washington University School of Medicine
119,united states of america,portland,45.5236111,-122.675,540513,119,NCT01970410,Multiple Sclerosis,RRMS,Drug,Phase 4,70,Providence Multiple Sclerosis Center
120,united states of america,phoenix,33.4483333,-112.0733333,1428509,120,NCT01970410,Multiple Sclerosis,RRMS,Drug,Phase 4,70,Phoenix Neurological Associates - Ltd
121,united states of america,latham,42.7469444,-73.7594444,20736,0,NCT01970410,Multiple Sclerosis,RRMS,Drug,Phase 4,70,Multiple Sclerosis Center of Northeastern New York
122,united states of america,portland,45.5236111,-122.675,540513,122,NCT01909492,Multiple Sclerosis,RRMS,Other,N/A,30,Providence Multiple Sclerosis Center
123,cayman islands,george town,19.3,-81.3833333,27340,0,NCT02326935,Multiple Sclerosis,All,Stem Cells,Phase 1,100,The Da Vinci Center
124,united kingdom,sheffield,53.366667,-1.5,447048,124,NCT02702804,Multiple Sclerosis,All,Other,N/A,12,Sheffield Teaching Hospitals NHS FT
125,united kingdom,sheffield,53.366667,-1.5,447048,125,NCT02702804,Multiple Sclerosis,All,Other,N/A,12,Royal Hallamshire Hospital
126,israel,ramat gan,32.080556,34.814167,126864,1105,NCT02580435,Multiple Sclerosis,All,Other,N/A,520,Sheba Medical Center
127,united states of america,durham,35.9938889,-78.8988889,204734,0,NCT01723709,Multiple Sclerosis,All,Other,N/A,1000,The Stedman Center on the Duke Center for Living Campus
128,united states of america,concord,35.4086111,-80.5797222,60592,106,NCT01723709,Multiple Sclerosis,All,Other,N/A,1000,Carolinas Medical Center Northeast Medical Arts Building
129,united states of america,concord,35.4086111,-80.5797222,60592,106,NCT01723709,Multiple Sclerosis,All,Other,N/A,1000,NorthEast Neurology - Concord
130,united states of america,davidson,35.4991667,-80.8488889,10944,106,NCT01723709,Multiple Sclerosis,All,Other,N/A,1000,Ada Jenkins Center
131,united states of america,kannapolis,35.4872222,-80.6219444,38748,106,NCT01723709,Multiple Sclerosis,All,Other,N/A,1000,Kannapolis Internal Medicine
132,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT01723709,Multiple Sclerosis,All,Other,N/A,1000,Raleigh Neurology Associates
133,germany,berlin,52.516667,13.4,3398362,133,NCT01371071,Multiple Sclerosis,CIS,Other,Phase 1,200,Department of Neurology - Charité - Universitätsmedizin Berlin
134,germany,berlin,52.516667,13.4,3398362,134,NCT01371071,Multiple Sclerosis,CIS,Other,Phase 1,200,NeuroCure Clinical Research Center - Charité - Universitätsmedizin Berlin
135,united states of america,portland,45.5236111,-122.675,540513,135,NCT02315872,Multiple Sclerosis,RRMS,Drug,Phase 3,90,Providence St. Vincent Medical Center
136,united states of america,cullman,34.1747222,-86.8436111,14796,0,NCT02315872,Multiple Sclerosis,RRMS,Drug,Phase 3,90,North Central Neurology Associates - PC
137,united states of america,medford,42.3266667,-122.8744444,69638,0,NCT02315872,Multiple Sclerosis,RRMS,Drug,Phase 3,90,Providence Medical Group - Medford Neurology
138,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT02315872,Multiple Sclerosis,RRMS,Drug,Phase 3,90,Rocky Mountain Research Group
139,united states of america,seattle,47.6063889,-122.3308333,569369,139,NCT02315872,Multiple Sclerosis,RRMS,Drug,Phase 3,90,Swedish Medical Center
140,united states of america,tacoma,47.2530556,-122.4430556,196957,73,NCT02315872,Multiple Sclerosis,RRMS,Drug,Phase 3,90,MultiCare Health System -- Institute for Research and Innovation
141,united states of america,lutherville,39.4211111,-76.6263889,6504,5,NCT02633033,Multiple Sclerosis,RRMS,Drug,N/A,260,Mallinckrodt Investigational Site
142,united states of america,bala-cynwyd,40.0075,-75.2344444,9619,29,NCT02633033,Multiple Sclerosis,RRMS,Drug,N/A,260,Mallinckrodt Investigational Site
143,united states of america,knoxville,35.9605556,-83.9208333,172474,0,NCT02633033,Multiple Sclerosis,RRMS,Drug,N/A,260,Mallinckrodt Investigational Site
144,united states of america,west orange,40.7986111,-74.2394444,48131,1,NCT02496416,Multiple Sclerosis,All,Behavioral,N/A,15,Kessler Foundation
145,france,toulouse,43.599516,1.433188,411145,145,NCT02403947,Multiple Sclerosis,All,Stem Cells,Phase 1-Phase 2,12,Purpan Hospital
146,france,rennes,48.111981,-1.674291,213334,0,NCT02117375,Multiple Sclerosis,RRMS,Device,N/A,100,CHU Rennes
147,france,bordeaux,44.840439,-0.5805,219311,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Bordeaux
148,france,caen,49.197188,-0.326822,115358,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Caen
149,france,clermont-ferrand,45.779657,3.086281,137364,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Clermont-Ferrand
150,france,dijon,47.316667,5.016667,153692,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,Hôpital du Bocage
151,france,dunkerque,51.05,2.366667,90995,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CH de Dunkerque
152,france,lille,50.632971,3.058585,189746,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,Centre Hospitalier Saint Vincent de Paul
153,france,lille,50.632971,3.058585,189746,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,Hôpital Roger Salengro
154,france,marseille,43.285413,5.37606,792823,154,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Marseille
155,france,montpellier,43.61092,3.87723,238887,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU Montpellier
156,france,nancy,48.69211,6.187756,106857,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Nancy
157,france,nice,43.713644,7.25952,341621,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Nice
158,france,paris,48.866667,2.333333,2110694,158,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,Hôpital Tenon
159,france,poissy,48.92902,2.049521,35663,158,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,Hôpital de Poissy Saint Germain
160,france,reims,49.25,4.033333,192688,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Reims
161,france,strasbourg,48.600381,7.787355,273506,0,NCT02391064,Multiple Sclerosis,All,Behavioral,N/A,470,CHU de Strasbourg
162,united states of america,bethesda,38.9805556,-77.1005556,52801,43,NCT01326715,Multiple Sclerosis,All,Drug,Phase 1,30,National Institutes of Health Clinical Center
163,sweden,stockholm,59.333333,18.05,1253309,163,NCT01730547,Multiple Sclerosis,All,Stem Cells,Phase 1-Phase 2,15,Karolinska Institute - Karolinska University Hospital Solna
164,france,nancy,48.69211,6.187756,106857,0,NCT01659593,Multiple Sclerosis,All,Other,Phase 2,140,University hospital Nancy
165,canada,ottawa,45.416667,-75.7,874433,165,NCT01891071,Multiple Sclerosis,All,Other,N/A,35,The Ottawa Hospital
166,canada,greenfield park,45.5,-73.483333,16969,747,NCT01891071,Multiple Sclerosis,All,Other,N/A,35,Hôpital Charles-LeMoyne
167,united states of america,stratford,39.8266667,-75.0158333,7040,29,NCT02227524,Multiple Sclerosis,All,Other,N/A,30,Rowan University School of Osteopathic Medicine
168,united states of america,centennial,39.5791667,-104.8763889,96930,286,NCT02601885,Multiple Sclerosis,All,Drug,Phase 1,60,Site Reference ID/Investigator# 141561
169,united states of america,baltimore,39.2902778,-76.6125,610892,169,NCT02601885,Multiple Sclerosis,All,Drug,Phase 1,60,Site Reference ID/Investigator# 141563
170,united states of america,boulder,40.015,-105.27,91521,286,NCT02152085,Multiple Sclerosis,All,Device,N/A,30,University of Colorado
171,germany,ulm,48.4,10,120745,768,NCT02671682,Multiple Sclerosis,CIS,Other,N/A,60,Department of Neurology - University of Ulm
172,germany,tubingen,48.533333,9.05,83815,768,NCT02686788,Multiple Sclerosis,RRMS,Drug,Phase 2,55,UKT - Universitätsklinikum Tübingen
173,germany,frankfurt,50.116667,8.683333,648034,173,NCT02686788,Multiple Sclerosis,RRMS,Drug,Phase 2,55,Goethe-Universität Frankfurt am Main
174,germany,munster,51.966667,7.633333,272452,1655,NCT02686788,Multiple Sclerosis,RRMS,Drug,Phase 2,55,Universitätsklinikum Münster - Klinik für Allgemeine Neurologie
175,germany,hamburg,53.55,10,1733846,175,NCT02686788,Multiple Sclerosis,RRMS,Drug,Phase 2,55,Universitätsklinikum Hamburg-Eppendorf - Neurologische Poliklinik - Multiple Sklerose Tagesklinik und Ambulanz
176,united states of america,bethesda,38.9805556,-77.1005556,52801,43,NCT02504840,Multiple Sclerosis,CIS,Other,N/A,1300,National Institutes of Health Clinical Center
177,india,pune,18.533333,73.866667,2935968,177,NCT01883661,Multiple Sclerosis,All,Stem Cells,Phase 1-Phase 2,15,Chaitanya Hospital
178,france,lomme,50.643579,2.987148,29084,0,NCT02726672,Multiple Sclerosis,All,Device,N/A,60,Hospital Group of the Catholic Institute of Lille
